trait	chr	region	start	end	n_snps	h2_local	se	p	likelihood_interval_lower	likelihood_interval_upper	warning	eligible_for_bivariate
AMD	1	1	754182	1366830	125	0.0002321996579354		0.116965232440695				True
AMD	1	2	1421531	2211849	201	0.0001049793121564		0.422979923660217				True
AMD	1	3	2220649	2981841	246	2.10205309682897e-05		0.0				True
AMD	1	4	2984087	3580574	228	0.0		0.999999461946885			nonpositive_local_h2	False
AMD	1	5	3586250	4281458	254	0.0005642788170155		0.0				True
AMD	1	6	4282786	4773266	374	2.3436412887364e-05		0.950269080793877				True
AMD	1	7	4774438	5362345	395	0.0		0.999994142877253			nonpositive_local_h2	False
AMD	1	8	5364634	6129835	349	0.000335937664751		0.169319782712437				True
AMD	1	9	6139744	7711758	642	0.0002583617820624		0.160078805422383				True
AMD	1	10	7712132	8580960	289	0.0006963681936631		0.0				True
AMD	1	11	8581015	9466803	333	0.0007640505197251		0.0433419557339405				True
AMD	1	12	9483388	10750432	349	5.72031412857644e-05		0.0				True
AMD	1	13	10757199	11706791	288	7.76427692432824e-05		0.515382094539355				True
AMD	1	14	11710561	12868019	435	0.0008855162512202		0.0				True
AMD	1	15	13782197	14719847	522	0.0007284345678288		0.0689682570618982				True
AMD	1	16	14721450	15754484	547	5.67868853186106e-05		0.834922694726636				True
AMD	1	17	15757044	16729700	370	4.19743249231703e-05		0.730763030008666				True
AMD	1	18	16732860	17557657	190	3.27847167388658e-05		0.755237965017461				True
AMD	1	19	17557837	18425983	415	1.96087580082724e-05		0.0				True
AMD	1	20	18429437	19237107	460	0.0		0.999999341022206			nonpositive_local_h2	False
AMD	1	21	19246539	20556029	569	0.0		0.999999619538993			nonpositive_local_h2	False
AMD	1	22	20556762	21410231	387	0.000273877310715		0.0				True
AMD	1	23	21416435	22141983	283	0.0002081132437786		0.488958335551311				True
AMD	1	24	22147077	22739168	279	0.0001515668443279		0.604217247231101				True
AMD	1	25	22740365	23904345	384	0.0001433459412595		0.0				True
AMD	1	26	23927929	25860915	652	0.0007407477803194		0.0994132495661196				True
AMD	1	27	25889422	27971502	631	0.0012800527939276		7.13134902923214e-05				True
AMD	1	28	28011854	29185093	241	4.93214813057268e-05		0.0				True
AMD	1	29	29190138	30405167	471	0.0001785574048673		0.0				True
AMD	1	30	30405460	31633308	596	0.0		0.0			nonpositive_local_h2	False
AMD	1	31	31650749	33066299	378	0.0003213497130095		0.0				True
AMD	1	32	33068754	34370091	487	0.0		0.0			nonpositive_local_h2	False
AMD	1	33	34375199	35190138	422	0.000667491252194		0.0				True
AMD	1	34	35205742	36847766	230	0.0002976864125686		0.0878325373714966				True
AMD	1	35	36858145	38465315	667	0.0003253865325209		0.268788828305943				True
AMD	1	36	38476519	40199854	575	0.000543673463004		0.0				True
AMD	1	37	40203722	41093830	300	0.0004453308604503		0.0610850072908765				True
AMD	1	38	41093908	41976017	338	0.0		0.999999730973442			nonpositive_local_h2	False
