trait_pair	chr	region	start	end	primary_local_rg	primary_p	rg_lower	rg_upper	bim_file
AMD-POAG	9	29	21674147	23083305	-0.724372437243724	0.0012401597536204	-0.957795779577958	-0.314931493149315	ukb_chr9.29_n336000.imputed_clean.bim
AMD-POAG	2	61	53852235	54684557	-1.0	0.0031900341796899	-1.0	-0.550755075507551	ukb_chr2.61_n336000.imputed_clean.bim
AMD-POAG	3	63	71224429	72332608	-1.0	0.0072343514488585	-1.0	-0.357535753575358	ukb_chr3.63_n336000.imputed_clean.bim
AMD-POAG	8	119	124001089	125450473	-1.0	0.0074948106456719	-1.0	-0.373137313731373	ukb_chr8.119_n336000.imputed_clean.bim
AMD-POAG	9	51	77877793	78630894	-0.802180218021802	0.007940242687462	-1.0	-0.234323432343234	ukb_chr9.51_n336000.imputed_clean.bim
AMD-POAG	13	4	21547317	22794240	-0.571757175717572	0.0119077982126708	-0.898789878987899	-0.131713171317132	ukb_chr13.4_n336000.imputed_clean.bim
AMD-POAG	14	39	60100967	61652619	-0.792379237923792	0.0124332764656315	-1.0	-0.193119311931193	ukb_chr14.39_n336000.imputed_clean.bim
AMD-POAG	7	106	116837610	118338267	-0.894189418941894	0.020630957833271	-1.0	-0.15971597159716	ukb_chr7.106_n336000.imputed_clean.bim
AMD-POAG	11	36	32830564	33905285	0.803580358035804	0.0303252469964389	0.0883088308830883	1.0	ukb_chr11.36_n336000.imputed_clean.bim
AMD-POAG	9	100	128785910	129617253	-1.0	0.0349011270703187	-1.0	-0.11011101110111	ukb_chr9.100_n336000.imputed_clean.bim
POAG-RE	2	69	62430208	63669625	-1.0	0.278493630935711	-1.0	1.0	ukb_chr2.69_n336000.imputed_clean.bim
POAG-RE	11	124	128266104	129447968	-0.432743274327433	0.382651869282232	-1.0	0.518151815181518	ukb_chr11.124_n336000.imputed_clean.bim
POAG-RE	10	73	78667191	79952934	-1.0	0.438118360560565	-1.0	1.0	ukb_chr10.73_n336000.imputed_clean.bim
POAG-RE	4	34	31399060	32259530	1.0	0.502838692631256	-1.0	1.0	ukb_chr4.34_n336000.imputed_clean.bim
POAG-RE	3	73	82538109	83515994	0.294529452945294	0.841293003068171	-1.0	1.0	ukb_chr3.73_n336000.imputed_clean.bim
POAG-RE	17	25	29783244	31318492	0.155115511551155	0.938330768478586	-1.0	1.0	ukb_chr17.25_n336000.imputed_clean.bim
